18,3,8,3,6,0,0,31,566,528,282,13,11368,0,3195,3,20064,18717,"carry"
18,9,8,1,10,0,1,41,468,505,187,6,13228,0,1938,3,16590,17902,"carry"
16,3,2,4,17,0,0,73,361,419,151,4,7131,0,180,0,12797,14853,"roaming-support"
11,0,0,8,7,8,16,7,197,189,53,0,3591,0,118,0,6983,6700,"support"
17,1,3,3,3,0,0,22,407,443,199,23,8414,0,267,0,14428,15704,"carry"
15,1,3,4,4,0,0,89,312,344,139,3,3989,157,214,1,11060,12194,"carry"
14,1,2,3,5,6,12,19,256,293,90,0,5072,0,0,0,9075,10386,"carry"
16,1,1,3,6,0,0,58,426,383,232,6,5831,0,851,1,15101,13577,"carry"
19,4,4,4,16,1,0,68,389,420,153,1,7053,0,299,0,18620,20104,"roaming-support"
17,2,1,8,17,19,9,38,296,333,80,0,4910,0,2084,0,14168,15939,"roaming-support"
21,4,7,4,14,0,0,28,467,514,206,10,11026,0,1410,1,22353,24603,"roaming-support"
25,7,23,4,13,0,0,77,714,678,293,18,25186,0,4603,3,34176,32453,"roaming-support"
20,3,3,6,22,0,0,82,440,440,219,3,11410,405,3613,2,21061,21061,"roaming-support"
21,1,5,9,8,0,0,18,441,505,290,13,10120,0,717,2,21109,24172,"carry"
18,1,6,10,14,3,0,15,298,357,69,1,4938,2865,0,0,14264,17088,"support"
22,1,7,7,7,1,0,49,491,530,369,13,13077,0,0,0,23502,25369,"carry"
15,3,6,4,12,16,17,5,248,272,43,0,8538,0,0,0,11870,13019,"roaming-support"
20,1,2,8,14,1,1,38,328,452,177,9,6661,852,264,0,15700,21635,"roaming-support"
20,2,6,4,7,1,0,23,475,459,347,2,16257,0,390,0,23306,22521,"carry"
14,0,0,10,4,7,12,7,231,217,108,8,5888,0,459,1,11334,10647,"support"
18,1,2,5,7,0,0,84,403,357,280,8,8041,0,496,2,19773,17516,"carry"
13,1,5,6,5,8,21,1,232,210,42,3,5254,0,0,0,11383,10304,"carry"
18,0,0,6,6,2,0,46,314,350,175,7,5153,0,44,0,15406,17173,"carry"
19,3,2,5,16,4,2,56,324,390,102,1,4552,0,489,0,15897,19136,"roaming-support"
17,5,3,2,14,17,11,46,409,327,203,2,5233,2732,389,0,20068,16044,"support"
25,21,9,0,12,0,0,142,659,661,434,9,12264,0,8681,7,32334,32433,"roaming-support"
23,6,10,2,10,0,0,118,552,600,273,3,14961,0,2086,1,27084,29440,"carry"
20,4,6,4,18,0,1,77,502,439,305,4,9130,2460,576,0,24631,21540,"support"
14,2,7,4,5,0,0,13,475,445,86,16,9971,0,3401,2,11289,10576,"carry"
16,6,2,1,11,0,0,14,564,570,165,9,11439,0,1417,2,13404,13547,"roaming-support"
13,2,3,4,9,0,0,56,453,397,101,2,4062,695,1364,1,10766,9435,"ganker"
10,2,2,3,9,3,3,4,283,228,20,1,4043,1404,0,0,6725,5418,"ganker"
11,5,1,1,9,8,7,15,269,262,32,1,3200,0,259,0,6393,6226,"support"
11,1,1,5,7,3,4,2,248,261,61,4,4213,0,51,0,5894,6203,"support"
14,1,1,4,4,0,0,53,605,486,147,14,6386,0,0,0,14378,11550,"carry"
11,3,5,1,1,0,0,47,327,332,83,1,5301,0,0,0,7771,7890,"carry"
10,2,2,4,8,5,4,0,193,227,10,0,4894,0,0,0,4586,5395,"support"
12,1,3,3,4,0,0,10,364,345,105,6,6981,0,557,2,8651,8199,"carry"
20,5,6,1,5,0,0,46,567,576,265,25,10255,0,4199,3,21791,22137,"carry"
22,7,6,1,8,0,0,72,649,712,360,1,11442,191,1062,0,24943,27364,"ganker"
18,5,2,1,9,0,0,44,443,457,193,14,7610,0,1550,1,17025,17564,"ganker"
15,2,1,4,11,4,3,129,404,337,197,3,3651,978,3517,4,15527,12952,"roaming-support"
12,1,2,4,7,12,13,5,246,229,31,0,2908,237,530,0,9454,8801,"support"
11,0,2,5,3,13,6,9,183,205,38,0,4697,0,54,0,7033,7878,"support"
16,2,4,3,6,0,0,32,396,394,216,4,11092,0,0,0,15219,15142,"ganker"
18,2,3,2,4,0,0,57,424,451,250,7,8109,0,473,1,16295,17333,"carry"
11,1,0,4,6,3,0,15,186,197,51,1,4630,3436,30,0,7148,7571,"support"
18,0,2,4,1,0,0,94,475,455,308,12,2822,0,1158,2,18255,17487,"carry"
25,3,8,5,11,0,2,52,628,599,475,5,12867,0,542,1,33974,32405,"roaming-support"
18,1,2,9,16,4,10,4,219,321,21,1,4811,0,163,0,11847,17366,"roaming-support"
19,2,10,11,17,0,0,69,367,379,188,5,14596,247,238,0,19854,20503,"roaming-support"
24,2,7,7,11,0,0,170,578,583,456,3,13021,0,2157,2,31269,31540,"roaming-support"
17,3,4,6,23,17,18,12,215,293,21,1,5240,2871,69,0,11631,15851,"support"
25,7,11,2,11,0,0,99,763,602,562,19,25269,0,7233,5,41278,32568,"roaming-support"
18,2,2,9,20,1,3,20,294,342,98,3,5352,0,442,1,15905,18502,"roaming-support"
25,4,20,6,10,0,0,180,741,599,513,18,25306,0,2040,0,40088,32405,"carry"
13,2,1,10,21,22,44,0,194,183,6,0,2914,516,0,0,10495,9900,"roaming-support"
21,3,3,6,18,0,0,27,308,434,128,1,6334,0,158,0,16662,23479,"roaming-support"
20,13,9,1,18,0,0,63,540,458,357,8,27791,0,113,1,25659,21762,"roaming-support"
21,3,8,5,15,2,2,86,443,503,148,2,10693,0,25,0,21049,23900,"roaming-support"
22,7,7,2,14,0,0,153,506,558,329,8,13176,0,2350,4,24043,26514,"roaming-support"
17,10,6,2,25,17,16,7,331,348,28,1,5543,713,22,0,15728,16535,"roaming-support"
22,6,6,3,20,1,0,35,448,545,250,3,11677,0,727,0,21287,25896,"roaming-support"
17,1,3,6,7,1,0,50,370,340,202,16,7100,0,158,0,17581,16155,"carry"
13,0,0,7,6,8,28,4,162,203,31,3,2541,0,0,0,7697,9645,"support"
17,1,3,8,7,0,1,32,383,350,238,3,9155,1863,0,0,18198,16630,"ganker"
23,1,6,7,5,0,0,94,544,616,396,13,15757,2316,130,0,25849,29270,"support"
12,0,1,9,7,12,17,5,141,179,11,3,3894,0,79,0,6699,8505,"support"
15,7,0,1,15,1,2,9,267,344,47,1,4190,0,710,1,10101,13014,"roaming-support"
13,6,3,1,10,15,23,7,253,238,23,1,5187,0,449,0,9571,9004,"support"
19,7,9,2,12,0,0,52,557,512,236,4,11380,149,4523,4,21073,19370,"roaming-support"
17,5,4,3,17,0,1,50,452,431,184,2,9639,0,1799,1,17100,16306,"roaming-support"
18,2,10,6,9,0,0,92,507,491,228,11,10522,277,424,2,19181,18576,"ganker"
12,1,1,8,8,2,3,5,226,234,53,3,5575,0,41,0,8550,8853,"support"
14,1,1,5,5,3,0,20,300,310,148,3,5987,0,400,1,11350,11728,"carry"
11,1,1,4,6,10,24,27,229,193,81,2,5267,0,81,0,8663,7301,"support"
17,0,3,4,1,0,0,52,398,432,186,7,7459,408,0,0,15057,16344,"carry"
15,1,5,5,3,0,0,29,381,340,185,7,11915,0,1126,1,14414,12863,"carry"
13,0,1,6,3,3,1,13,327,292,139,5,7141,0,171,1,10420,9305,"ganker"
12,1,1,5,5,3,0,5,273,264,95,1,5509,0,227,0,8699,8412,"carry"
11,0,2,5,1,8,13,9,227,193,44,1,4937,0,0,0,7233,6150,"support"
16,0,1,3,0,0,0,60,440,454,237,9,3107,0,876,2,14021,14467,"carry"
16,0,2,5,2,0,0,19,433,459,192,24,5655,0,1010,1,13798,14626,"carry"
11,6,2,1,11,3,0,10,332,256,52,1,3527,1072,642,0,10579,8157,"roaming-support"
13,15,3,0,12,11,4,7,334,293,42,3,4680,83,92,0,10643,9336,"roaming-support"
15,3,4,3,9,0,0,25,528,407,184,9,6514,0,4888,1,16825,12969,"support"
17,6,7,2,11,0,0,22,622,521,161,13,9922,0,6710,6,19821,16602,"roaming-support"
19,8,8,1,9,0,0,50,614,617,223,6,16144,0,713,1,19566,19661,"ganker"
16,3,6,8,26,7,14,1,219,259,43,0,9176,1408,37,0,12015,14210,"roaming-support"
24,3,6,6,20,1,0,39,513,562,354,10,15288,0,1965,1,28146,30835,"roaming-support"
20,4,9,7,26,13,5,10,288,384,70,1,12162,4538,90,1,15801,21068,"support"
22,2,9,7,12,1,3,43,416,478,258,0,11260,0,177,0,22824,26226,"roaming-support"
25,3,9,6,16,0,0,129,598,590,522,3,12328,0,1248,2,32810,32371,"roaming-support"
23,2,8,7,15,0,0,128,542,542,294,7,9821,0,7083,5,29737,29737,"roaming-support"
19,2,4,9,16,8,4,24,318,360,87,8,7251,0,1433,1,17447,19752,"roaming-support"
25,5,13,5,18,1,0,111,569,617,330,14,20516,0,4007,3,31219,33852,"roaming-support"
17,2,6,11,21,13,13,10,312,307,37,1,6566,1265,111,0,17118,16844,"roaming-support"
25,3,2,7,27,1,1,40,514,590,354,2,11108,0,475,0,28201,32371,"roaming-support"
20,15,11,1,19,0,0,54,675,571,328,31,13240,0,7545,4,27112,22935,"roaming-support"
16,7,4,2,18,2,3,30,395,350,120,3,9329,0,3034,2,15865,14058,"roaming-support"
23,9,14,2,15,1,0,78,604,720,294,13,21659,0,1463,0,24260,28920,"roaming-support"
15,4,4,5,24,13,5,0,303,304,35,1,5207,869,120,0,12170,12210,"roaming-support"
18,9,4,2,24,1,0,15,370,440,93,4,8240,0,298,1,14861,17673,"roaming-support"
13,0,0,9,9,2,0,6,193,226,42,0,3663,0,50,0,7752,9077,"carry"
17,1,8,7,3,0,0,29,375,384,174,11,10842,0,1177,0,15062,15424,"carry"
12,1,0,8,9,16,6,8,197,204,53,5,4749,0,78,0,7912,8194,"support"
13,0,3,9,6,0,0,26,254,243,103,0,5498,0,203,1,10202,9760,"ganker"
16,0,1,4,3,0,0,176,643,373,505,4,11433,0,38,0,25827,14982,"carry"
13,3,0,3,14,3,0,17,399,351,85,2,4466,0,631,0,11265,9909,"roaming-support"
14,16,1,0,15,9,7,17,408,368,77,4,3596,0,674,0,11519,10389,"roaming-support"
19,18,11,0,7,0,0,53,702,715,218,15,10796,0,6887,3,19819,20186,"carry"
16,5,5,3,15,0,0,16,532,511,132,12,10423,0,2783,2,15020,14427,"roaming-support"
15,22,10,0,12,0,0,56,578,471,154,0,10389,1688,1336,1,16318,13297,"roaming-support"
9,0,1,8,4,6,11,9,171,188,17,0,2280,0,0,0,4827,5307,"support"
10,1,0,4,5,6,9,0,159,204,14,0,3232,0,0,0,4489,5759,"support"
14,0,2,7,1,0,0,57,574,412,184,4,4926,0,24,1,16205,11632,"carry"
