2,0.272225507589198,182,22,172,18,9,7760,8817,90,"midlaner"
3,0.281687364478612,234,69,365,1,12,12707,11337,68,"roaming_support"
2,0.875813128326434,537,423,614,0,166,20680,26017,1165,"midlaner"
1,0.553124383993692,423,190,522,0,53,9239,20494,0,"offlaner"
1,0.690321308890203,554,415,699,0,72,32452,26841,3085,"carry"
1,0.500887049083383,412,203,495,0,88,15004,19961,828,"offlaner"
2,0.225113345160654,289,74,326,6,11,21858,14002,106,"midlaner"
1,0.272028385570668,306,76,375,13,29,6646,14825,185,"hard_support"
2,0.712596096984033,716,415,637,0,90,41034,34690,15951,"carry"
3,0.734673763059334,491,281,593,0,36,20484,23788,2928,"midlaner"
2,0.240883106643012,350,117,471,2,38,13799,20078,98,"midlaner"
2,0.783165779617583,693,552,688,0,155,37588,39755,10467,"carry"
3,0.419869899467771,301,148,433,0,56,19723,17267,112,"offlaner"
1,0.652671003351074,601,459,605,0,131,32446,34477,5598,"carry"
1,0.351074315000986,238,36,377,20,7,14620,13653,31,"roaming_support"
3,0.601222156514883,334,211,427,0,34,21598,19160,266,"carry"
2,0.579144490439582,580,519,565,0,38,39493,33272,1074,"midlaner"
2,0.410802286615415,210,54,332,23,8,13020,12047,100,"midlaner"
2,0.365464222353637,289,15,421,1,9,15125,16578,0,"midlaner"
1,0.782771535580524,470,476,526,0,112,38103,26962,1035,"midlaner"
3,0.521781983047506,491,184,505,0,42,6701,15605,2570,"carry"
1,0.275773703922728,403,74,452,0,34,6922,12808,1463,"roaming_support"
1,0.274590971811551,377,57,424,13,18,7463,11982,615,"hard_support"
2,0.77311255667258,683,245,715,0,29,23016,21708,9706,"carry"
1,0.822787305342007,528,156,577,0,43,15444,16781,5917,"midlaner"
2,0.340626848018924,211,30,278,12,12,3188,6706,64,"midlaner"
2,0.408436822393061,268,55,284,1,13,12453,8517,0,"midlaner"
3,0.578553124383994,261,95,272,0,54,10063,8295,37,"offlaner"
2,0.867534003548196,514,264,586,0,127,18554,16336,1214,"carry"
1,0.724029174058742,444,219,480,0,64,8994,14111,1394,"carry"
3,0.520007884880741,338,165,474,0,70,7409,13953,1351,"offlaner"
2,0.673565937315198,606,383,631,0,52,19581,25017,4898,"carry"
1,0.272816873644786,220,39,355,16,31,10216,9082,305,"hard_support"
2,0.485314409619555,295,56,275,1,23,8084,12178,58,"midlaner"
1,0.616006307904593,612,382,702,0,153,23349,25265,1791,"carry"
2,0.281884486497142,280,121,370,1,10,5686,11559,0,"midlaner"
2,0.611669623496945,579,420,682,0,106,11770,23903,1916,"carry"
3,0.584861028976937,250,142,324,0,60,8554,10320,0,"offlaner"
1,0.660950128129312,416,289,391,0,83,11195,17173,1353,"midlaner"
3,0.238320520402129,159,29,205,15,5,2617,6564,11,"roaming_support"
2,0.322688744332742,150,23,139,11,19,4190,4575,42,"midlaner"
3,0.315395229647152,211,17,250,2,6,4900,6435,0,"offlaner"
2,0.621919968460477,352,168,345,0,22,10150,10736,607,"midlaner"
1,0.53893159865957,337,114,313,0,24,9585,10278,0,"carry"
3,0.568302779420461,529,325,578,0,98,3749,16134,382,"carry"
3,0.622708456534595,464,140,531,0,12,12337,14152,3663,"carry"
1,0.316380839739799,327,34,333,1,14,8506,9973,2775,"offlaner"
1,0.191602602010645,292,42,272,12,9,4969,8906,290,"offlaner"
2,0.824167159471713,618,211,589,0,47,16081,18849,9943,"midlaner"
