"match_id","start_time","win","hero_id","account_id","leaguename"
1697818230,1439083874,false,49,101375717,"The International 2015"
1697818230,1439083874,false,25,142750189,"The International 2015"
1697818230,1439083874,false,51,131237305,"The International 2015"
1697818230,1439083874,false,112,140153524,"The International 2015"
1697818230,1439083874,true,72,87177591,"The International 2015"
1697818230,1439083874,true,89,40547474,"The International 2015"
1697818230,1439083874,true,7,87276347,"The International 2015"
1697818230,1439083874,true,17,111620041,"The International 2015"
1697818230,1439083874,true,68,86727555,"The International 2015"
1697818230,1439083874,false,12,130416036,"The International 2015"
1697737102,1439078899,true,72,87177591,"The International 2015"
1697737102,1439078899,true,101,40547474,"The International 2015"
1697737102,1439078899,true,51,87276347,"The International 2015"
1697737102,1439078899,true,106,111620041,"The International 2015"
1697737102,1439078899,true,85,86727555,"The International 2015"
1697737102,1439078899,false,93,130416036,"The International 2015"
1697737102,1439078899,false,52,101375717,"The International 2015"
1697737102,1439078899,false,26,142750189,"The International 2015"
1697737102,1439078899,false,55,131237305,"The International 2015"
1697737102,1439078899,false,92,140153524,"The International 2015"
1697676707,1439075087,true,92,140153524,"The International 2015"
1697676707,1439075087,false,112,40547474,"The International 2015"
1697676707,1439075087,false,51,87276347,"The International 2015"
1697676707,1439075087,false,21,111620041,"The International 2015"
1697676707,1439075087,false,5,86727555,"The International 2015"
1697676707,1439075087,true,39,130416036,"The International 2015"
1697676707,1439075087,true,52,101375717,"The International 2015"
1697676707,1439075087,true,100,142750189,"The International 2015"
1697676707,1439075087,true,61,131237305,"The International 2015"
1697676707,1439075087,false,72,87177591,"The International 2015"
1697618202,1439071630,true,72,87177591,"The International 2015"
1697618202,1439071630,false,112,140153524,"The International 2015"
1697618202,1439071630,false,71,131237305,"The International 2015"
1697618202,1439071630,false,52,142750189,"The International 2015"
1697618202,1439071630,false,39,101375717,"The International 2015"
1697618202,1439071630,false,12,130416036,"The International 2015"
1697618202,1439071630,true,5,86727555,"The International 2015"
1697618202,1439071630,true,17,111620041,"The International 2015"
1697618202,1439071630,true,51,87276347,"The International 2015"
1697618202,1439071630,true,101,40547474,"The International 2015"
1697367568,1439062107,true,52,111620041,"The International 2015"
1697367568,1439062107,false,86,89407113,"The International 2015"
1697367568,1439062107,false,72,108382060,"The International 2015"
